Hakusana,Sanaluokka,Pituus
lammasmainen,adjektiivi,12
lammasmaisesti,adverbi,14
lammasmaisuus,substantiivi,13
lammasnavetta,substantiivi,13
lammaspaimen,substantiivi,12
lammaspaisti,substantiivi,12
lammasrotu,substantiivi,10
lammassuoja,substantiivi,11
lammastalous,substantiivi,12
lammastarha,substantiivi,11
lammasturkki,substantiivi,12
lammikko,substantiivi,8
lammikkokasvatus,substantiivi,16
lammikkoviljely,substantiivi,15
lamoava,adjektiivi,7
lamopinaatti,substantiivi,12
lampaanhoito,substantiivi,12
lampaankyljys,substantiivi,13
lampaankääpä,substantiivi,12
lampaanlapa,substantiivi,11
lampaanlapahiha,substantiivi,15
lampaanliha,substantiivi,11
lampaannahka,substantiivi,12
lampaanpaisti,substantiivi,13
lampaanreisi,substantiivi,12
lampaansaparo,substantiivi,13
lampaansatula,substantiivi,13
lampaantalja,substantiivi,12
lampaanvilla,substantiivi,12
lampaanviulu,substantiivi,12
lampaanvuota,substantiivi,12
lampare,substantiivi,7
lampetti,substantiivi,8
lampi,substantiivi,5
lampola,substantiivi,7
lamppu,substantiivi,6
lamppuharja,substantiivi,11
lamppuöljy,substantiivi,10
lampsia,verbi,7
lampukka,substantiivi,8
lampunistukka,substantiivi,13
lampunjalka,substantiivi,11
lampunkanta,substantiivi,11
lampunkupu,substantiivi,10
lampunpidin,substantiivi,11
lampunvalo,substantiivi,10
lampunvarjostin,substantiivi,15
lampuoti,substantiivi,8
lampuotitila,substantiivi,12
lampuri,substantiivi,7
lana,substantiivi,4
lanata,verbi,6
lanaus,substantiivi,6
lande,substantiivi,5
langallinen,adjektiivi,11
langanlaiha,adjektiivi,11
langanpätkä,substantiivi,11
langanpää,substantiivi,9
langata,verbi,7
langaton,adjektiivi,8
langeta,verbi,7
langettaa,verbi,9
langoittaa,verbi,10
langoitus,substantiivi,9
langokset,substantiivi,9
langusti,substantiivi,8
lanit,substantiivi,5
lanittaa,verbi,8
lanka,substantiivi,5
‑lankainen,adjektiivi,10
lankajuoksu,substantiivi,11
lankakerä,substantiivi,9
lankakori,substantiivi,9
lankalasi,substantiivi,9
lankalauantai,substantiivi,13
lankalaukaisin,substantiivi,14
lankamalli,substantiivi,10
lankanaula,substantiivi,10
lankapihdit,substantiivi,11
lankapuhelin,substantiivi,12
lankapuhelinverkko,substantiivi,18
lankarulla,substantiivi,10
lankasakset,substantiivi,11
lankasilmukka,substantiivi,13
lankasuora,adjektiivi,10
lankata,verbi,7
lankatupsu,substantiivi,10
lankaus,substantiivi,7
lankavastus,substantiivi,11
lankavatkain,substantiivi,12
lankavedin,substantiivi,10
lankavyyhti,substantiivi,11
lankeemus,substantiivi,9
lankkaus,substantiivi,8
lankki,substantiivi,6
lankkipoika,substantiivi,11
lankku,substantiivi,6
lankkuaita,substantiivi,10
lankkulattia,substantiivi,12
lankkumaalari,substantiivi,13
lankkupihvi,substantiivi,11
lanko,substantiivi,5
lankomies,substantiivi,9
lankonki,substantiivi,8
lankous,substantiivi,7
lankoussuhde,substantiivi,12
lankunpätkä,substantiivi,11
lankuttaa,verbi,9
lankutus,substantiivi,8
lannanajo,substantiivi,9
lannanlevitin,substantiivi,13
lannanluonti,substantiivi,12
lannansyöjä,substantiivi,11
lanne,substantiivi,5
lannelaukku,substantiivi,11
lannenikama,substantiivi,11
lannepisto,substantiivi,10
lanneranka,substantiivi,10
lannevaate,substantiivi,10
lannevanne,substantiivi,10
lannevyö,substantiivi,8
lannistaa,verbi,9
lannistua,verbi,9
lannoite,substantiivi,8
lannoitin,substantiivi,9
lannoittaa,verbi,10
lannoittua,verbi,10
lannoitus,substantiivi,9
lannoitusaine,substantiivi,13
lannoituskone,substantiivi,13
lannos,substantiivi,6
lanoliini,substantiivi,9
lanoliinipitoinen,adjektiivi,17
lanoliinisaippua,substantiivi,16
lanseerata,verbi,10
lanseeraus,substantiivi,10
lansetti,substantiivi,8
lanssi,substantiivi,6
lanta,substantiivi,5
lantaani,substantiivi,8
lantainen,adjektiivi,9
lantaisuus,substantiivi,10
lantakasa,substantiivi,9
lantakouru,substantiivi,10
lantakuoriainen,substantiivi,15
lantakuorma,substantiivi,11
lantala,substantiivi,7
lantalainen,substantiivi,11
lantamulta,substantiivi,10
lantapatteri,substantiivi,12
lantarobotti,substantiivi,12
lantata,verbi,7
lantatalikko,substantiivi,12
lantatunkio,substantiivi,11
lantavesi,substantiivi,9
lantavesikaivo,substantiivi,14
lanteikas,adjektiivi,9
‑lanteinen,adjektiivi,10
lantinki,substantiivi,8
lantio,substantiivi,6
lantiofarkut,substantiivi,12
‑lantioinen,adjektiivi,11
lantiomalli,substantiivi,11
lantiomallinen,adjektiivi,14
lantionpohja,substantiivi,12
lantiopituinen,adjektiivi,14
lantiovyö,substantiivi,9
lantrata,verbi,8
lantrinki,substantiivi,9
lantsarit,substantiivi,9
lantti,substantiivi,6
lantto,adjektiivi,6
lanttokärkinen,adjektiivi,14
lanttopäinen,adjektiivi,12
lanttu,substantiivi,6
lanttukukko,substantiivi,11
lanttukuutio,substantiivi,12
lanttulaatikko,substantiivi,14
lanttumaa,substantiivi,9
lanttuperhonen,substantiivi,14
lantturaaste,substantiivi,12
laonkestävyys,substantiivi,13
laonkestävä,adjektiivi,11
laossa,adverbi,6
laota,verbi,5
laottaa,verbi,7
lapa,substantiivi,4
‑lapainen,adjektiivi,9
lapakko,substantiivi,7
lapakääntö,substantiivi,10
lapaluu,substantiivi,7
lapamato,substantiivi,8
lapanen,substantiivi,7
laparoskooppinen,adjektiivi,16
laparoskopia,substantiivi,12
laparoskopialeikkaus,substantiivi,20
lape,substantiivi,4
lapetikkaat,substantiivi,11
lapidaarinen,adjektiivi,12
lapikas,substantiivi,7
lapinharakka,substantiivi,12
lapinhullu,"adjektiivi, substantiivi",10
lapin kieli,,11
lapinkielinen,adjektiivi,13
lapinkirvinen,substantiivi,13
lapinkoira,substantiivi,10
lapinkylä,substantiivi,9
lapinkävijä,substantiivi,11
lapinkäännös,substantiivi,12
lapinlehmä,substantiivi,10
lapinleuku,substantiivi,10
lapinmyyrä,substantiivi,10
lapinporokoira,substantiivi,14
lapinpuku,substantiivi,9
lapinsirkku,substantiivi,11
lapinsirri,substantiivi,10
lapintiainen,substantiivi,12
lapintiira,substantiivi,10
lapinvuokko,substantiivi,11
lapio,substantiivi,5
lapioida,verbi,8
lapiointi,substantiivi,9
lapionpisto,substantiivi,11
lapionvarsi,substantiivi,11
lapiorullaäes,substantiivi,13
lappaa,verbi,6
lappalainen,"adjektiivi, substantiivi",11
lappalaiskota,substantiivi,13
lappalaiskäännös,substantiivi,16
lappalaispuku,substantiivi,13
lappautua,verbi,9
lappeellaan,adverbi,11
lappeelleen,adverbi,11
lappi,substantiivi,5
lappilainen,"adjektiivi, substantiivi",11
lappo,substantiivi,5
lappologi,substantiivi,9
lappologia,substantiivi,10
lappologinen,adjektiivi,12
lappu,substantiivi,5
lappuhaalari,substantiivi,12
lappuliisa,substantiivi,10
lappunen,substantiivi,8
lapsekas,adjektiivi,8
lapsekkaasti,adverbi,12
lapsekkuus,substantiivi,10
lapseksiottaminen,substantiivi,17
lapseksiotto,substantiivi,12
lapsellinen,adjektiivi,11
lapsellisesti,adverbi,13
lapsellisuus,substantiivi,12
lapseneläke,substantiivi,11
lapsenhoito,substantiivi,11
lapsenhoitotuki,substantiivi,15
lapsenkaitsija,substantiivi,14
lapsenkasvoinen,adjektiivi,15
lapsenkenkä,substantiivi,11
lapsenkieli,substantiivi,11
lapsenkina,substantiivi,10
lapsenlapsi,substantiivi,11
lapsenlikka,substantiivi,11
lapsenmieli,substantiivi,11
lapsenmielinen,adjektiivi,14
lapsenmielisyys,substantiivi,15
lapsenomainen,adjektiivi,13
lapsenomaisesti,adverbi,15
lapsenomaisuus,substantiivi,14
lapsenpihka,substantiivi,11
lapsenpiika,substantiivi,11
lapsenpäästö,substantiivi,12
lapsenruokko,substantiivi,12
lapsenryöstö,substantiivi,12
lapsensaanti,substantiivi,12
lapsensilmä,substantiivi,11
lapsensurma,substantiivi,11
lapsentahtinen,adjektiivi,14
lapsentajuinen,adjektiivi,14
lapsentajuisesti,adverbi,16
lapsentajuisuus,substantiivi,15
lapsenteko,substantiivi,10
lapsenusko,substantiivi,10
lapsenvahti,substantiivi,11
lapsenääni,substantiivi,10
lapseton,adjektiivi,8
lapsettaa,verbi,9
lapsettomuus,substantiivi,12
lapsettomuushoito,substantiivi,17
lapsettomuusklinikka,substantiivi,20
lapseus,substantiivi,7
lapsi,substantiivi,5
lapsialennus,substantiivi,12
lapsiasiavaltuutettu,substantiivi,20
lapsiavioliitto,substantiivi,15
lapsihalvaus,substantiivi,12
lapsikaappaus,substantiivi,13
lapsikaste,substantiivi,10
lapsikatras,substantiivi,11
lapsikauppa,substantiivi,11
lapsikorotus,substantiivi,12
lapsikulta,substantiivi,10
lapsikuolleisuus,substantiivi,16
lapsikuoro,substantiivi,10
lapsikuvaus,substantiivi,11
lapsilauma,substantiivi,10
lapsilisä,substantiivi,9
lapsiliuta,substantiivi,10
lapsilukko,substantiivi,10
lapsiluku,substantiivi,9
lapsimäärä,substantiivi,10
‑lapsinen,adjektiivi,9
lapsinäyttelijä,substantiivi,15
lapsiparka,substantiivi,10
lapsiparkki,substantiivi,11
lapsiperhe,substantiivi,10
lapsipoliittinen,adjektiivi,16
lapsipolitiikka,substantiivi,15
lapsiporno,substantiivi,10
lapsipornografia,substantiivi,16
lapsiportti,substantiivi,11
lapsipotilas,substantiivi,12
lapsiprostituoitu,substantiivi,17
lapsiprostituutio,substantiivi,17
lapsipsykologi,substantiivi,14
lapsipsykologia,substantiivi,15
lapsipuoli,substantiivi,10
lapsirajoitus,substantiivi,13
lapsirakas,adjektiivi,10
lapsiraukka,substantiivi,11
lapsirikas,adjektiivi,10
lapsirikollinen,substantiivi,15
lapsirukka,substantiivi,10
lapsiseksi,substantiivi,10
lapsiseksimatkailu,substantiivi,18
lapsiseksiturismi,substantiivi,17
lapsisotilas,substantiivi,12
lapsiteatteri,substantiivi,13
lapsitutkimus,substantiivi,13
lapsityö,substantiivi,8
lapsityöläinen,substantiivi,14
lapsityöntekijä,substantiivi,15
lapsityövoima,substantiivi,13
lapsivesi,substantiivi,9
lapsivesinäyte,substantiivi,14
lapsivesipisto,substantiivi,14
lapsivesipunktio,substantiivi,16
lapsivesitutkimus,substantiivi,17
lapsivihamielinen,adjektiivi,17
lapsivuode,substantiivi,10
lapsivuodeaika,substantiivi,14
lapsivuodekuume,substantiivi,15
lapsiväestö,substantiivi,11
lapsiystävällinen,adjektiivi,17
lapsiäiti,substantiivi,9
lapskoussi,substantiivi,10
lapsonen,substantiivi,8
lapsukainen,substantiivi,11
lapsus,substantiivi,6
lapsuuden‑,,10
lapsuudenaika,substantiivi,13
lapsuudenaikainen,adjektiivi,17
lapsuudenkokemus,substantiivi,16
lapsuudenkoti,substantiivi,13
lapsuudenmuisto,substantiivi,15
lapsuudentoveri,substantiivi,15
lapsuudenystävä,substantiivi,15
lapsuus,substantiivi,7
lapsuusaika,substantiivi,11
lapsuusikä,substantiivi,10
lapsuusmuisto,substantiivi,13
lapsuusvuosi,substantiivi,12
lapuanliike,substantiivi,11
LA-puhelin,substantiivi,10
laputtaa,verbi,8
laputtaa,verbi,8
largo,"adverbi, substantiivi",5
lari,substantiivi,4
lari,substantiivi,4
larpata,verbi,7
larppaaja,substantiivi,9
larppaus,substantiivi,8
larppi,substantiivi,6
lasagne,substantiivi,7
lasagnelevy,substantiivi,11
lasaretti,substantiivi,9
lasauttaa,verbi,9
laseerata,verbi,9
laseeraus,substantiivi,9
laseittain,adverbi,10
laser,substantiivi,5
laserase,substantiivi,8
laserhoito,substantiivi,10
laseri,substantiivi,6
laserkeilain,substantiivi,12
laserkeilaus,substantiivi,12
laserkirjoitin,substantiivi,14
laserkirurgia,substantiivi,13
laserleikkaus,substantiivi,13
laserosoitin,substantiivi,12
lasersota,substantiivi,9
lasersäde,substantiivi,9
lasertekniikka,substantiivi,14
lasertulostin,substantiivi,13
laservalo,substantiivi,9
lasi,substantiivi,4
lasiahven,substantiivi,9
lasiainen,substantiivi,9
lasiaisneste,substantiivi,12
lasiankerias,substantiivi,12
lasiastia,substantiivi,9
lasibatisti,substantiivi,11
lasiesine,substantiivi,9
lasihelmi,substantiivi,9
lasihiomo,substantiivi,9
lasikaappi,substantiivi,10
lasikannu,substantiivi,9
lasikansi,substantiivi,9
lasikantinen,adjektiivi,12
lasikarahvi,substantiivi,11
lasikatto,substantiivi,9
lasikeraami,substantiivi,11
lasikeraaminen,adjektiivi,14
lasikko,substantiivi,7
lasikuisti,substantiivi,10
lasikuitu,substantiivi,9
lasikuituinen,adjektiivi,13
lasikuitumuovi,substantiivi,14
lasikuitumuovinen,adjektiivi,17
lasikuituoptiikka,substantiivi,17
lasikuitusauva,substantiivi,14
lasikuituseiväs,substantiivi,15
lasikuitusuksi,substantiivi,14
lasikuitutapetti,substantiivi,16
lasikuituvahvisteinen,adjektiivi,21
lasikuituvapa,substantiivi,13
lasikuituvene,substantiivi,13
lasikulho,substantiivi,9
lasikupu,substantiivi,8
lasilevy,substantiivi,8
lasiliike,substantiivi,9
lasillinen,substantiivi,10
lasimaalaus,substantiivi,11
lasimaalaustaide,substantiivi,16
lasimainen,adjektiivi,10
lasimalja,substantiivi,9
lasimaljakko,substantiivi,12
lasimassa,substantiivi,9
lasimestari,substantiivi,11
lasinalaisviljely,substantiivi,17
lasinalusta,substantiivi,11
lasinen,adjektiivi,7
lasinhioja,substantiivi,10
lasinhionta,substantiivi,11
lasinkeräys,substantiivi,11
lasinkirkas,adjektiivi,11
lasinleikkaaja,substantiivi,14
lasinleikkaus,substantiivi,13
lasinleikkuri,substantiivi,13
lasinmuotoilija,substantiivi,15
lasinpala,substantiivi,9
lasinpalanen,substantiivi,12
lasinpidike,substantiivi,11
lasinpuhallus,substantiivi,13
lasinpuhallusputki,substantiivi,18
lasinpuhaltaja,substantiivi,14
lasinsirpale,substantiivi,12
lasinsiru,substantiivi,9
lasintyöstäjä,substantiivi,13
lasiosasto,substantiivi,10
lasiovi,substantiivi,7
lasipaperi,substantiivi,10
lasipinta,substantiivi,9
lasipullo,substantiivi,9
lasipurkki,substantiivi,10
lasiputki,substantiivi,9
lasiruutu,substantiivi,9
lasiseinä,substantiivi,9
lasisiipi,substantiivi,9
lasisilmä,substantiivi,9
lasisirpale,substantiivi,11
lasisiru,substantiivi,8
lasisto,substantiivi,7
lasitaide,substantiivi,9
lasitaideteos,substantiivi,13
lasitaiteilija,substantiivi,14
lasite,substantiivi,6
lasitehdas,substantiivi,10
lasiteollisuus,substantiivi,14
lasitiili,substantiivi,9
lasittaa,verbi,8
lasittaja,substantiivi,9
lasittua,verbi,8
lasitus,substantiivi,7
lasitusliike,substantiivi,12
lasityö,substantiivi,7
lasityöntekijä,substantiivi,14
lasitölkki,substantiivi,10
lasiuuni,substantiivi,8
lasivakuutus,substantiivi,12
lasivati,substantiivi,8
lasiveistos,substantiivi,11
lasiveitsi,substantiivi,10
lasiveranta,substantiivi,11
lasivilla,substantiivi,9
laskea,verbi,6
laskelma,substantiivi,8
laskelmoida,verbi,11
laskelmointi,substantiivi,12
laskennallinen,adjektiivi,14
laskennallisesti,adverbi,16
laskenta,substantiivi,8
laskentateho,substantiivi,12
laskentatoimi,substantiivi,13
laskento,substantiivi,8
laskeskella,verbi,11
lasketella,verbi,10
laskettaa,verbi,9
laskettelija,substantiivi,12
laskettelu,substantiivi,10
lasketteluhaalari,substantiivi,17
laskettelukenkä,substantiivi,15
laskettelukeskus,substantiivi,16
laskettelulasit,substantiivi,15
laskettelumono,substantiivi,14
laskettelurinne,substantiivi,15
laskettelusuksi,substantiivi,15
lasketteluväline,substantiivi,16
laskeuma,substantiivi,8
laskeutua,verbi,9
laskeutuma,substantiivi,10
laskeutusallas,substantiivi,14
laskiainen,substantiivi,10
laskiaismäki,substantiivi,12
laskiaispulla,substantiivi,13
laskiaissunnuntai,substantiivi,17
laskiaistiistai,substantiivi,15
laskija,substantiivi,7
laskimo,substantiivi,7
laskimonlaajentuma,substantiivi,18
laskimopunos,substantiivi,12
laskimotukos,substantiivi,12
laskimotulehdus,substantiivi,15
laskimoveri,substantiivi,11
laskin,substantiivi,6
laskisanko,substantiivi,10
laskiämpäri,substantiivi,11
lasko,substantiivi,5
‑laskoksinen,adjektiivi,12
laskos,substantiivi,6
laskoshame,substantiivi,10
laskossauma,substantiivi,11
laskostaa,verbi,9
laskostua,verbi,9
laskostus,substantiivi,9
lasku,substantiivi,5
laskuautomaatti,substantiivi,15
laskuhumala,substantiivi,11
‑laskuinen,adjektiivi,10
laskujoki,substantiivi,9
laskukansi,substantiivi,10
laskukausi,substantiivi,10
laskukiito,substantiivi,10
laskukohta,substantiivi,10
laskukone,substantiivi,9
laskukulma,substantiivi,10
laskukunto,substantiivi,10
laskulomake,substantiivi,11
laskuoppi,substantiivi,9
laskuperuste,substantiivi,12
laskuportaat,substantiivi,12
laskuputki,substantiivi,10
laskupää,substantiivi,8
laskuri,substantiivi,7
laskusilta,substantiivi,10
laskusuhdanne,substantiivi,13
laskusuunta,substantiivi,11
laskusääntö,substantiivi,11
laskutapa,substantiivi,9
laskutehtävä,substantiivi,12
laskuteline,substantiivi,11
laskutikku,substantiivi,10
laskutila,substantiivi,9
laskutoimitus,substantiivi,13
laskutoimitusmerkki,substantiivi,19
laskuttaa,verbi,9
laskutus,substantiivi,8
laskutuslisä,substantiivi,12
laskutuspäivä,substantiivi,13
laskuvarjo,substantiivi,10
laskuvarjohyppy,substantiivi,15
laskuvarjohyppääjä,substantiivi,18
laskuvarjojoukot,substantiivi,16
laskuvarjojääkäri,substantiivi,17
laskuvarjourheilija,substantiivi,19
laskuvarjourheilu,substantiivi,17
laskuvesi,substantiivi,9
laskuviivain,substantiivi,12
laskuvirhe,substantiivi,10
lassi,substantiivi,5
lassie,substantiivi,6
lasso,substantiivi,5
lassota,verbi,7
lasta,substantiivi,5
lastaaja,substantiivi,8
lastain,substantiivi,7
lastasidos,substantiivi,10
lastata,verbi,7
lastaus,substantiivi,7
lastauslaituri,substantiivi,14
lastauspaikka,substantiivi,13
lastauttaa,verbi,10
lastenelokuva,substantiivi,13
lastenhoitaja,substantiivi,13
lastenhoito,substantiivi,11
lastenhuolto,substantiivi,12
lastenhuone,substantiivi,11
lastenistuin,substantiivi,12
lastenjuhla,substantiivi,11
lastenkaitsija,substantiivi,14
lastenkamari,substantiivi,12
lastenkasvatus,substantiivi,14
lastenkieli,substantiivi,11
lastenkirja,substantiivi,11
lastenkirjailija,substantiivi,16
lastenkirjallisuus,substantiivi,18
lastenkoti,substantiivi,10
lastenkulttuuri,substantiivi,15
lastenkutsut,substantiivi,12
lastenlapsi,substantiivi,11
lastenlaulu,substantiivi,11
lastenlehti,substantiivi,11
lastenleikki,substantiivi,12
lastenlippu,substantiivi,11
lastenlääkäri,substantiivi,13
lastenneuvola,substantiivi,13
lastennäytelmä,substantiivi,14
lastennäytäntö,substantiivi,14
lastenohjelma,substantiivi,13
lastenosasto,substantiivi,12
lastenperinne,substantiivi,13
lastenpsykiatri,substantiivi,15
lastenpsykiatria,substantiivi,16
lastenpsykologi,substantiivi,15
lastenpsykologia,substantiivi,16
lastenpukimo,substantiivi,12
lastenpyörä,substantiivi,11
lastenrattaat,substantiivi,13
lastensaippua,substantiivi,13
lastensairaala,substantiivi,14
lastenseimi,substantiivi,11
lastensuojelu,substantiivi,13
lastensänky,substantiivi,11
lastentajuinen,adjektiivi,14
lastentarha,substantiivi,11
lastentarhanopettaja,substantiivi,20
lastentauti,substantiivi,11
lastentautioppi,substantiivi,15
lastenteatteri,substantiivi,14
lastenvaaka,substantiivi,11
lastenvaate,substantiivi,11
lastenvalvoja,substantiivi,13
lastenvaunut,substantiivi,12
lasti,substantiivi,5
lastialus,substantiivi,9
lastiproomu,substantiivi,11
lastipyörä,substantiivi,10
lastiruuma,substantiivi,10
lastitila,substantiivi,9
lastoittaa,verbi,10
lastoitus,substantiivi,9
lastu,substantiivi,5
lastuaukko,substantiivi,10
lastukori,substantiivi,9
lastulevy,substantiivi,9
lastuta,verbi,7
lastuvakka,substantiivi,10
lastuvilla,substantiivi,10
lata,substantiivi,4
lataamo,substantiivi,7
latauma,substantiivi,7
lataus,substantiivi,6
latausgeneraattori,substantiivi,18
lataushybridi,substantiivi,13
latausjännite,substantiivi,13
latauspiste,substantiivi,11
latausvirta,substantiivi,11
latautua,verbi,8
latautuma,substantiivi,9
latautuneisuus,substantiivi,14
lateksi,substantiivi,7
lateksimaali,substantiivi,12
latelu,substantiivi,6
latenssi,substantiivi,8
latenssiaika,substantiivi,12
latenssivaihe,substantiivi,13
latentti,adjektiivi,8
lateraalimerkki,substantiivi,15
lateraalinen,adjektiivi,12
lati,substantiivi,4
latina,substantiivi,6
latinainen,adjektiivi,10
latinaistaa,verbi,11
latinalainen,adjektiivi,12
latinalaisamerikkalainen,adjektiivi,24
latinalaistaa,verbi,13
latinalaistanssi,substantiivi,16
latinan kieli,,13
latinankielinen,adjektiivi,15
latinantaa,verbi,10
latinismi,substantiivi,9
latinisti,substantiivi,9
latinki,substantiivi,7
latino,substantiivi,6
latinoida,verbi,9
latinomusiikki,substantiivi,14
latistaa,verbi,8
latistua,verbi,8
latitudi,substantiivi,8
latkia,verbi,6
lato,substantiivi,4
latoa,verbi,5
latoja,substantiivi,6
latomakone,substantiivi,10
latomeri,substantiivi,8
latomo,substantiivi,6
latomus,substantiivi,7
latotanssit,substantiivi,11
latta,substantiivi,5
lattajalka,substantiivi,10
lattajalkainen,adjektiivi,14
lattana,adjektiivi,7
lattari,substantiivi,7
latte,substantiivi,5
lattea,adjektiivi,6
latteasti,adverbi,9
latteus,substantiivi,7
lattia,substantiivi,6
lattia-ala,substantiivi,10
lattiaanlyönti,substantiivi,14
lattiaharja,substantiivi,11
lattiakaivo,substantiivi,11
lattiakana,substantiivi,10
lattiakanala,substantiivi,12
lattialaatta,substantiivi,12
lattialamppu,substantiivi,12
lattialankku,substantiivi,12
lattialauta,substantiivi,11
lattialuukku,substantiivi,12
lattialuuttu,substantiivi,12
lattialämmitys,substantiivi,14
lattiamatto,substantiivi,11
lattiankiillotin,substantiivi,16
lattiankiillotuskone,substantiivi,20
lattianpesin,substantiivi,12
lattianpesu,substantiivi,11
lattianpesuriepu,substantiivi,16
lattianpesurätti,substantiivi,16
lattianpäällyste,substantiivi,16
lattianraja,substantiivi,11
lattiapinta,substantiivi,11
lattiapinta-ala,substantiivi,15
lattiariepu,substantiivi,11
lattiarätti,substantiivi,11
lattiasieni,substantiivi,11
lattiasuutin,substantiivi,12
lattiataso,substantiivi,10
lattiatila,substantiivi,10
lattiatyyny,substantiivi,11
lattiatäyte,substantiivi,11
lattiavaha,substantiivi,10
lattiavaihde,substantiivi,12
lattiavalaisin,substantiivi,14
lattiavasa,substantiivi,10
latu,substantiivi,4
latuhiihto,substantiivi,10
latuhöylä,substantiivi,9
latukahvila,substantiivi,11
latukartta,substantiivi,10
latukone,substantiivi,8
latupartio,substantiivi,10
latuprofiili,substantiivi,12
laturetki,substantiivi,9
laturi,substantiivi,6
latuska,adjektiivi,7
latuskainen,adjektiivi,11
latuskajalka,substantiivi,12
latuskajalkainen,substantiivi,16
latutyyli,substantiivi,9
latu-ura,substantiivi,8
latuverkko,substantiivi,10
latva,substantiivi,5
latva-artisokka,substantiivi,15
‑latvainen,adjektiivi,10
latvakasvain,substantiivi,12
latvalaho,substantiivi,9
latvamitta,substantiivi,10
latvamätä,substantiivi,9
latvaoksa,substantiivi,9
latvapermanentti,substantiivi,16
latvavesi,substantiivi,9
latvia,substantiivi,6
latvialainen,"adjektiivi, substantiivi",12
latvian kieli,,13
latvimmainen,adjektiivi,12
latvoa,verbi,6
latvonta,substantiivi,8
‑latvuksinen,adjektiivi,12
latvus,substantiivi,6
latvusto,substantiivi,8
lauantai,substantiivi,8
lauantaiaamu,substantiivi,12
lauantai-ilta,substantiivi,13
lauantaimakkara,substantiivi,15
lauantainen,adjektiivi,11
lauantaipäivä,substantiivi,13
lauantaisauna,substantiivi,13
lauantaisiivous,substantiivi,15
lauantaisin,adverbi,11
laudankappale,substantiivi,13
laudanpätkä,substantiivi,11
laudatur,substantiivi,8
laudatur-arvosana,substantiivi,17
laudaturtentti,substantiivi,14
laudaturtutkielma,substantiivi,17
laudaturtyö,substantiivi,11
laudaturylioppilas,substantiivi,18
laude,substantiivi,5
laudeliina,substantiivi,10
laudoittaa,verbi,10
laudoittaja,substantiivi,11
laudoitus,substantiivi,9
laueta,verbi,6
lauha,adjektiivi,5
lauha,substantiivi,5
lauhde,substantiivi,6
lauhdelämpö,substantiivi,11
lauhdevesi,substantiivi,10
lauhdevoimala,substantiivi,13
lauhdutin,substantiivi,9
lauhduttaa,verbi,10
lauhdutus,substantiivi,9
lauhdutusvoimala,substantiivi,16
lauhentaa,verbi,9
lauheta,verbi,7
lauhkea,adjektiivi,7
lauhkealuonteinen,adjektiivi,17
lauhkeasti,adverbi,10
lauhkeus,substantiivi,8
lauhtua,verbi,7
laukaisija,substantiivi,10
laukaisin,substantiivi,9
laukaista,verbi,9
laukaisu,substantiivi,8
laukaisualusta,substantiivi,14
laukaisuikkuna,substantiivi,14
laukaisukoneisto,substantiivi,16
laukaisulaite,substantiivi,13
laukaisuteline,substantiivi,14
laukaisuvalmis,adjektiivi,14
laukanvaihto,substantiivi,12
laukata,verbi,7
laukaus,substantiivi,7
laukaussarja,substantiivi,12
laukaustenvaihto,substantiivi,16
laukka,substantiivi,6
laukka,substantiivi,6
laukka-askel,substantiivi,12
laukkahyppy,substantiivi,11
laukkakilpailu,substantiivi,14
laukkaneilikka,substantiivi,14
laukkaurheilu,substantiivi,13
laukki,substantiivi,6
laukkoa,verbi,7
laukku,substantiivi,6
laukkukauppa,substantiivi,12
laukkukauppias,substantiivi,14
laukkuliike,substantiivi,11
laukkuryssä,substantiivi,11
laukoa,verbi,6
laukonpeura,substantiivi,11
laulaa,verbi,6
laulaja,substantiivi,7
laulaja-lauluntekijä,substantiivi,20
laulajatar,substantiivi,10
laulajisto,substantiivi,10
laulattaa,verbi,9
laulava,adjektiivi,7
laulavasti,adverbi,10
laulella,verbi,8
laulelma,substantiivi,8
lauleskella,verbi,11
laulu,substantiivi,5
lauluesitys,substantiivi,11
lauluharjoitus,substantiivi,14
lauluilta,substantiivi,9
laulujoutsen,substantiivi,12
laulujuhla,substantiivi,10
laulukaskas,substantiivi,11
laulukilpailu,substantiivi,13
laulukirja,substantiivi,10
laulukonsertti,substantiivi,14
laulukuoro,substantiivi,10
laululava,substantiivi,9
laululeikki,substantiivi,11
laululintu,substantiivi,10
laulullinen,adjektiivi,11
laululyriikka,substantiivi,13
laulumaa,substantiivi,8
laulumies,substantiivi,9
laulumusiikki,substantiivi,13
laulunjohtaja,substantiivi,13
laulunlahja,substantiivi,11
laulunopettaja,substantiivi,14
laulunopetus,substantiivi,12
laulunpätkä,substantiivi,11
lauluntekijä,substantiivi,12
laulunäytelmä,substantiivi,13
laulunäyttämö,substantiivi,13
lauluopinnot,substantiivi,12
lauluoppilas,substantiivi,12
lauluosa,substantiivi,8
laulurastas,substantiivi,11
laulurunous,substantiivi,11
laulusarja,substantiivi,10
laulusolisti,substantiivi,12
laulusoolo,substantiivi,10
laulusävellys,substantiivi,13
laulusävelmä,substantiivi,12
laulusäveltäjä,substantiivi,14
laulutaide,substantiivi,10
laulutaiteilija,substantiivi,15
laulutaito,substantiivi,10
laulutapa,substantiivi,9
laulutervehdys,substantiivi,14
laulutunti,substantiivi,10
laulutähti,substantiivi,10
lauluyhtye,substantiivi,10
lauluääni,substantiivi,9
